1678.321: [GC 5260294K->3986767K(6167488K), 0.0960020 secs]
1681.969: [GC 5306703K->4011362K(6162496K), 0.0853720 secs]
1685.948: [GC 5331298K->4037155K(6176768K), 0.0863510 secs]
1689.663: [GC 5375971K->4064068K(6172096K), 0.0883090 secs]
1693.692: [GC 5402884K->4088372K(6185536K), 0.0869240 secs]
1697.339: [GC 5445236K->4113721K(6181376K), 0.0876570 secs]
1701.487: [GC 5470585K->4140327K(6193280K), 0.0876430 secs]
1705.444: [GC 5512935K->4167039K(6189376K), 0.0900430 secs]
1709.288: [GC 5539647K->4192000K(6200512K), 0.0932980 secs]
1713.262: [GC 5579584K->4219459K(6197120K), 0.0997970 secs]
1717.202: [GC 5607043K->4246889K(6206848K), 0.0911530 secs]
1721.219: [GC 5647465K->4272533K(6203776K), 0.0903890 secs]
1725.190: [GC 5673109K->4300665K(6212416K), 0.0915220 secs]
1729.411: [GC 5712697K->4327882K(6209664K), 0.0924810 secs]
1733.250: [GC 5739914K->4354569K(6217216K), 0.0930470 secs]
1737.359: [GC 5776713K->4382437K(6214976K), 0.1229490 secs]
1741.377: [GC 5804581K->4409578K(6221248K), 0.1048920 secs]
1745.341: [GC 5840106K->4436178K(6219328K), 0.0921440 secs]
1749.352: [GC 5866706K->4464935K(6224448K), 0.0936220 secs]
1753.195: [GC 5902311K->4491691K(6222976K), 0.0982920 secs]
1756.959: [GC 5929067K->4520003K(6226944K), 0.0948010 secs]
1760.836: [GC 5962819K->4548701K(6225920K), 0.0963610 secs]
1764.657: [GC 5991517K->4573840K(6228672K), 0.0992540 secs]
1768.672: [GC 6020048K->4601160K(6227584K), 0.0944610 secs]
1772.388: [GC 6047948K->4629782K(6230528K), 0.0954590 secs]
1776.480: [GC 6079896K->4657390K(6229632K), 0.0948480 secs]
1780.249: [GC 6107502K->4684867K(6232192K), 0.0950000 secs]
1784.125: [GC 6138435K->4713100K(6231424K), 0.0951770 secs]
1787.981: [GC 6166668K->4741724K(6233088K), 0.0977160 secs]
1792.081: [GC 6197596K->4769203K(6232832K), 0.1208870 secs]
1792.202: [Full GC 4769203K->367428K(6232832K), 1.1749320 secs]
1796.012: [GC 1823300K->420524K(6233856K), 0.0546130 secs]
1799.979: [GC 1877993K->448621K(6233664K), 0.0617020 secs]
1803.892: [GC 1906093K->458262K(6229248K), 0.0570500 secs]
1808.498: [GC 1911830K->454543K(6191680K), 0.0409810 secs]
1816.455: [GC 1908111K->454081K(6221056K), 0.0335940 secs]
